FACTOR,Num_mes,Np,Incidencia_mediana,Tamano_promedio,Tamano_mediano,Tamano_maximo,Incidencia_2019,Tamano_2019,Incidencia_2017,Tamano_2017,Incidencia_2018,Tamano_2018,num_detectabilidad,num_plantas,tamano_min_parcelas
Variedad Medianamente_resistentes  - Altura Alta,1,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,NA,NA,9.982032342,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,2,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,NA,NA,9.982032342,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,5,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,9.982032342,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,6,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,7,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,8,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,9,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,10,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,11,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Alta,12,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,1,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,NA,NA,9.982032342,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,2,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,NA,NA,9.982032342,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,3,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,NA,NA,9.982032342,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,5,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,NA,NA,9.982032342,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,6,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,7,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,8,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,9,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,10,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,11,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Baja,12,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Media,1,5000,0.008116643,10.99836687,10.99836687,10.99836687,NA,NA,NA,NA,0.008116643,10.99836687,1,30,10
Variedad Medianamente_resistentes  - Altura Media,2,5000,0.013217665,11.38814381,11.38814381,11.38814381,NA,NA,NA,NA,0.013217665,11.38814381,1,30,10
Variedad Medianamente_resistentes  - Altura Media,3,5000,0.002084087,10.84572731,10.84572731,10.84572731,NA,NA,NA,NA,0.002084087,10.84572731,1,30,10
Variedad Medianamente_resistentes  - Altura Media,5,5000,NA,20.31312606,20.31312606,30.64421977,NA,NA,NA,9.982032342,0.000671922,30.64421977,1,30,10
Variedad Medianamente_resistentes  - Altura Media,6,5000,NA,9.982032342,9.982032342,9.982032342,NA,NA,NA,9.982032342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Media,7,5000,0.006927514,11.05492564,11.05492564,11.05492564,NA,NA,0.006927514,11.05492564,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Media,8,5000,0.0071838,10.95505602,10.95505602,10.95505602,NA,NA,0.0071838,10.95505602,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Media,9,5000,0.008711126,12.01968406,12.01968406,12.01968406,NA,NA,0.008711126,12.01968406,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Media,10,5000,0.069240363,12.16505344,12.16505344,12.16505344,NA,NA,0.069240363,12.16505344,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Media,11,5000,0.046535007,12.09049342,12.09049342,12.09049342,NA,NA,0.046535007,12.09049342,NA,NA,1,30,10
Variedad Medianamente_resistentes  - Altura Media,12,5000,0.04827541,12.09606665,12.09606665,12.09606665,NA,NA,0.04827541,12.09606665,NA,NA,1,30,10
Variedad Resistentes  - Altura Alta,1,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,9.982032342,1,30,10
Variedad Resistentes  - Altura Alta,2,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,9.982032342,1,30,10
Variedad Resistentes  - Altura Alta,3,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,9.982032342,1,30,10
Variedad Resistentes  - Altura Alta,4,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Resistentes  - Altura Alta,5,5000,NA,10.37527888,9.982032342,11.16177195,0.026050222,11.16177195,NA,9.982032342,NA,9.982032342,1,30,10
Variedad Resistentes  - Altura Alta,6,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Alta,7,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Alta,8,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Alta,9,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Alta,10,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Alta,11,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Alta,12,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Baja,1,5000,NA,11.05991064,11.05991064,12.13778894,0.038244714,12.13778894,NA,NA,NA,9.982032342,1,30,10
Variedad Resistentes  - Altura Baja,2,5000,0.032616025,11.7840051,11.7840051,12.07629587,0.059828316,11.49171433,NA,NA,0.005403734,12.07629587,1,30,10
Variedad Resistentes  - Altura Baja,3,5000,NA,11.96106931,11.96106931,13.94010629,0.048663841,13.94010629,NA,NA,NA,9.982032342,1,30,10
Variedad Resistentes  - Altura Baja,4,5000,0.037793311,14.38882581,14.38882581,14.38882581,0.037793311,14.38882581,NA,NA,NA,NA,1,30,10
Variedad Resistentes  - Altura Baja,5,5000,NA,13.03402443,14.53794482,14.58209613,0.037050685,14.53794482,NA,9.982032342,0.000906188,14.58209613,1,30,10
Variedad Resistentes  - Altura Baja,6,5000,NA,11.9619708,11.9619708,13.94190925,0.012808012,13.94190925,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Baja,7,5000,NA,11.34092375,11.34092375,12.69981515,0.015084215,12.69981515,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Baja,8,5000,0.011327582,12.11131738,12.11131738,12.97905052,0.015995439,12.97905052,0.006659725,11.24358425,NA,NA,1,30,10
Variedad Resistentes  - Altura Baja,9,5000,NA,11.13385656,11.13385656,12.28568077,0.020296264,12.28568077,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Baja,10,5000,0.014780053,11.47832985,11.47832985,12.43529708,0.02586354,12.43529708,0.003696565,10.52136262,NA,NA,1,30,10
Variedad Resistentes  - Altura Baja,11,5000,NA,11.38375377,11.38375377,12.7854752,0.022094421,12.7854752,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Baja,12,5000,0.025171497,12.08325034,12.08325034,12.50442316,0.033141062,12.50442316,0.017201932,11.66207751,NA,NA,1,30,10
Variedad Resistentes  - Altura Media,1,5000,NA,11.81843249,11.81843249,13.65483264,NA,9.982032342,NA,NA,0.005204711,13.65483264,1,30,10
Variedad Resistentes  - Altura Media,2,5000,0.065682334,14.83200889,14.83200889,18.19053902,0.12946857,11.47347875,NA,NA,0.001896098,18.19053902,1,30,10
Variedad Resistentes  - Altura Media,3,5000,0.028242582,13.87838623,13.87838623,16.71754281,0.054137446,11.03922965,NA,NA,0.002347718,16.71754281,1,30,10
Variedad Resistentes  - Altura Media,4,5000,0.024218378,11.98686533,11.98686533,11.98686533,0.024218378,11.98686533,NA,NA,NA,NA,1,30,10
Variedad Resistentes  - Altura Media,5,5000,NA,13.47430167,11.91129059,18.52958208,0.018106704,11.91129059,NA,9.982032342,0.00167836,18.52958208,1,30,10
Variedad Resistentes  - Altura Media,6,5000,NA,11.33078912,11.33078912,12.6795459,0.015450315,12.6795459,NA,9.982032342,NA,NA,1,30,10
Variedad Resistentes  - Altura Media,7,5000,NA,13.85085266,13.85085266,17.71967297,NA,9.982032342,0.001784657,17.71967297,NA,NA,1,30,10
Variedad Resistentes  - Altura Media,8,5000,NA,10.95636736,10.95636736,11.93070238,NA,9.982032342,0.002463821,11.93070238,NA,NA,1,30,10
Variedad Resistentes  - Altura Media,9,5000,0.019151192,15.58276653,15.58276653,19.07216489,0.035769555,12.09336817,0.002532829,19.07216489,NA,NA,1,30,10
Variedad Resistentes  - Altura Media,10,5000,0.021395501,13.0638893,13.0638893,14.51762905,0.03783032,11.61014955,0.004960682,14.51762905,NA,NA,1,30,10
Variedad Resistentes  - Altura Media,11,5000,NA,12.04441414,12.04441414,14.10679594,NA,9.982032342,0.013807708,14.10679594,NA,NA,1,30,10
Variedad Resistentes  - Altura Media,12,5000,0.048122931,13.09017541,13.09017541,14.44425643,0.088461108,11.73609438,0.007784754,14.44425643,NA,NA,1,30,10
Variedad Susceptibles  - Altura Alta,1,5000,0.149214912,10.72590474,10.72590474,10.90616925,0.108026561,10.90616925,NA,NA,0.190403262,10.54564023,1,30,10
Variedad Susceptibles  - Altura Alta,2,5000,0.124370276,10.86964751,10.86964751,11.05317826,0.094683143,11.05317826,NA,NA,0.154057409,10.68611675,1,30,10
Variedad Susceptibles  - Altura Alta,3,5000,0.08398374,11.20593672,11.20593672,11.40494635,0.066211257,11.40494635,NA,NA,0.101756223,11.0069271,1,30,10
Variedad Susceptibles  - Altura Alta,4,5000,0.047182127,11.92460122,11.92460122,11.92460122,0.047182127,11.92460122,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Alta,5,5000,0.030393508,12.8904877,12.65823734,13.48885434,0.034623511,12.52437141,0.031424761,12.65823734,0.025132251,13.48885434,1,30,10
Variedad Susceptibles  - Altura Alta,6,5000,0.025206885,13.61808203,13.61808203,13.94108769,0.025471312,13.29507637,0.024942458,13.94108769,NA,NA,1,30,10
Variedad Susceptibles  - Altura Alta,7,5000,0.050873839,11.79896616,11.79896616,11.9777104,0.043921172,11.9777104,0.057826507,11.62022191,NA,NA,1,30,10
Variedad Susceptibles  - Altura Alta,8,5000,0.076892047,11.85124431,11.85124431,12.04731671,0.092176386,12.04731671,0.061607709,11.65517192,NA,NA,1,30,10
Variedad Susceptibles  - Altura Alta,9,5000,0.094221974,11.47428539,11.47428539,11.77655284,0.108057396,11.77655284,0.080386552,11.17201794,NA,NA,1,30,10
Variedad Susceptibles  - Altura Alta,10,5000,0.108380651,10.89832912,10.89832912,10.93029808,0.097148789,10.93029808,0.119612514,10.86636016,NA,NA,1,30,10
Variedad Susceptibles  - Altura Alta,11,5000,0.136253433,10.68142572,10.68142572,10.70622536,0.115117672,10.70622536,0.157389195,10.65662609,NA,NA,1,30,10
Variedad Susceptibles  - Altura Alta,12,5000,0.151023265,11.12454283,11.12454283,11.69763245,0.111464689,11.69763245,0.190581841,10.55145321,NA,NA,1,30,10
Variedad Susceptibles  - Altura Baja,1,5000,0.149696298,12.19759156,12.19759156,12.53249328,0.130754686,12.53249328,NA,NA,0.16863791,11.86268984,1,30,10
Variedad Susceptibles  - Altura Baja,2,5000,0.102624122,12.36933951,12.36933951,12.88139501,0.088907789,12.88139501,NA,NA,0.116340456,11.857284,1,30,10
Variedad Susceptibles  - Altura Baja,3,5000,0.05034772,11.87784118,11.87784118,12.06642498,0.04616051,12.06642498,NA,NA,0.054534929,11.68925738,1,30,10
Variedad Susceptibles  - Altura Baja,4,5000,0.025940847,13.54307973,13.54307973,13.54307973,0.025940847,13.54307973,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Baja,5,5000,NA,13.83342328,14.80056511,16.7176724,0.012895748,16.7176724,NA,9.982032342,0.017129758,14.80056511,1,30,10
Variedad Susceptibles  - Altura Baja,6,5000,0.009106962,17.7833035,17.7833035,18.61466638,0.00968753,18.61466638,0.008526394,16.95194061,NA,NA,1,30,10
Variedad Susceptibles  - Altura Baja,7,5000,0.020775017,13.40726332,13.40726332,13.5910833,0.018867344,13.22344334,0.022682689,13.5910833,NA,NA,1,30,10
Variedad Susceptibles  - Altura Baja,8,5000,0.041791861,13.32898185,13.32898185,14.69874824,0.043722122,14.69874824,0.039861601,11.95921546,NA,NA,1,30,10
Variedad Susceptibles  - Altura Baja,9,5000,0.056629652,13.04519687,13.04519687,14.19658197,0.061275663,14.19658197,0.051983641,11.89381177,NA,NA,1,30,10
Variedad Susceptibles  - Altura Baja,10,5000,0.078865985,12.41039255,12.41039255,13.6778451,0.076684237,13.6778451,0.081047733,11.14294001,NA,NA,1,30,10
Variedad Susceptibles  - Altura Baja,11,5000,0.113387015,12.65208336,12.65208336,13.14980996,0.110437587,13.14980996,0.116336443,12.15435677,NA,NA,1,30,10
Variedad Susceptibles  - Altura Baja,12,5000,0.146905222,12.32902982,12.32902982,12.98971596,0.108612417,12.98971596,0.185198027,11.66834367,NA,NA,1,30,10
Variedad Susceptibles  - Altura Media,1,5000,0.142742611,12.11921788,12.11921788,12.37438496,0.122379388,12.37438496,NA,NA,0.163105833,11.86405081,1,30,10
Variedad Susceptibles  - Altura Media,2,5000,0.092856026,11.15447088,11.15447088,11.29682032,0.076439534,11.29682032,NA,NA,0.109272517,11.01212144,1,30,10
Variedad Susceptibles  - Altura Media,3,5000,0.055133214,11.92330928,11.92330928,11.97253712,0.05339189,11.87408143,NA,NA,0.056874538,11.97253712,1,30,10
Variedad Susceptibles  - Altura Media,4,5000,0.037197247,12.74349912,12.74349912,12.74349912,0.037197247,12.74349912,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Media,5,5000,0.013671001,16.88662019,17.81707647,18.11482391,0.020619833,14.7279602,0.008173995,18.11482391,0.012219177,17.81707647,1,30,10
Variedad Susceptibles  - Altura Media,6,5000,0.011736501,18.80322964,18.80322964,21.18464363,0.014539042,16.42181566,0.00893396,21.18464363,NA,NA,1,30,10
Variedad Susceptibles  - Altura Media,7,5000,0.027734057,13.68203065,13.68203065,14.30395388,0.030875544,13.06010742,0.024592571,14.30395388,NA,NA,1,30,10
Variedad Susceptibles  - Altura Media,8,5000,0.057888619,13.04324178,13.04324178,14.03878614,0.062455234,14.03878614,0.053322004,12.04769742,NA,NA,1,30,10
Variedad Susceptibles  - Altura Media,9,5000,0.063822681,12.66870707,12.66870707,13.85963076,0.054658907,13.85963076,0.072986454,11.47778338,NA,NA,1,30,10
Variedad Susceptibles  - Altura Media,10,5000,0.082970556,12.31388137,12.31388137,12.31998428,0.043424331,12.31998428,0.122516782,12.30777847,NA,NA,1,30,10
Variedad Susceptibles  - Altura Media,11,5000,0.109996703,11.75933117,11.75933117,12.18705091,0.071431425,11.33161142,0.148561981,12.18705091,NA,NA,1,30,10
Variedad Susceptibles  - Altura Media,12,5000,0.117305719,12.31257897,12.31257897,12.64096042,0.081085452,12.64096042,0.153525985,11.98419752,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,2,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,3,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,4,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,5,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,6,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,7,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,8,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,9,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,10,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,11,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
Variedad Susceptibles  - Altura Muy Alta,12,5000,NA,9.982032342,9.982032342,9.982032342,NA,9.982032342,NA,NA,NA,NA,1,30,10
